Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
128,Kentucky (SEC),33,23-10,917,"2,138",42.9
129,Akron (MAC),35,24-11,853,"1,985",43
130,Texas Tech (Big 12),34,23-11,864,"2,009",43
131,Duke (ACC),36,27-9,884,"2,055",43
132,UNC Asheville (Big South),34,22-12,884,"2,054",43
133,Navy (Patriot),31,13-18,715,"1,660",43.1
134,Pittsburgh (ACC),33,22-11,793,"1,841",43.1
135,Southern Miss. (Sun Belt),32,16-16,814,"1,889",43.1
136,George Washington (Atlantic 10),32,15-17,917,"2,128",43.1
137,UC Davis (Big West),33,20-13,777,"1,803",43.1
138,CSU Bakersfield (Big West),32,13-19,722,"1,675",43.1
139,Bethune-Cookman (SWAC),34,17-17,806,"1,869",43.1
140,South Carolina (SEC),34,26-8,825,"1,913",43.1
141,Long Beach St. (Big West),36,21-15,951,"2,205",43.1
142,Southern California (Pac-12),33,15-18,855,"1,981",43.2
143,Illinois (Big Ten),38,29-9,"1,044","2,418",43.2
144,Cal St. Fullerton (Big West),32,14-18,773,"1,790",43.2
145,Wake Forest (ACC),35,21-14,885,"2,045",43.3
146,St. John's (NY) (Big East),33,20-13,824,"1,904",43.3
147,Southeastern La. (Southland),32,15-17,800,"1,848",43.3
148,ETSU (SoCon),35,19-16,849,"1,961",43.3
149,Wofford (SoCon),32,17-15,812,"1,875",43.3
150,NC State (ACC),41,26-15,"1,043","2,408",43.3
151,Mount St. Mary's (MAAC),32,13-19,819,"1,890",43.3
152,Jacksonville St. (CUSA),32,14-18,752,"1,735",43.3
153,Miami (FL) (ACC),32,15-17,866,"1,998",43.3
154,Samford (SoCon),35,29-6,897,"2,068",43.4
155,Gardner-Webb (Big South),33,17-16,839,"1,934",43.4
156,Nicholls (Southland),34,20-14,879,"2,025",43.4
157,Delaware St. (MEAC),34,15-19,831,"1,914",43.4
158,Radford (Big South),33,16-17,845,"1,946",43.4
159,Green Bay (Horizon),32,18-14,782,"1,799",43.5
160,Tulane (AAC),31,14-17,869,"1,999",43.5
161,ULM (Sun Belt),30,11-19,747,"1,718",43.5
162,Sacred Heart (NEC),32,16-16,821,"1,888",43.5
163,Southern U. (SWAC),32,18-14,729,"1,676",43.5
164,Fla. Atlantic (AAC),34,25-9,912,"2,096",43.5
165,Old Dominion (Sun Belt),32,7-25,825,"1,893",43.6
166,Georgia (SEC),37,20-17,998,"2,289",43.6
167,Xavier (Big East),34,16-18,921,"2,111",43.6
168,SIUE (OVC),33,17-16,798,"1,829",43.6
169,Grambling (SWAC),36,21-15,891,"2,042",43.6
170,Hampton (CAA),33,9-24,901,"2,064",43.7
171,Texas St. (Sun Belt),35,17-18,853,"1,954",43.7
172,New Hampshire (America East),31,16-15,843,"1,930",43.7
173,Eastern Wash. (Big Sky),32,21-11,836,"1,912",43.7
174,Oakland (Horizon),36,24-12,951,"2,175",43.7
175,Alabama (SEC),37,25-12,"1,028","2,351",43.7
176,Temple (AAC),36,16-20,912,"2,085",43.7
177,Kansas City (Summit League),32,16-16,746,"1,705",43.8
178,UMES (MEAC),29,9-20,722,"1,650",43.8
179,Jacksonville (ASUN),33,16-17,811,"1,853",43.8
180,Utah St. (Mountain West),35,28-7,906,"2,070",43.8
181,Boise St. (Mountain West),33,22-11,796,"1,818",43.8
182,Liberty (CUSA),32,18-14,775,"1,769",43.8
183,Milwaukee (Horizon),35,20-15,962,"2,194",43.8
184,Indiana St. (MVC),39,32-7,"1,055","2,406",43.8
185,Columbia (Ivy League),27,13-14,709,"1,616",43.9
186,Kennesaw St. (ASUN),31,15-16,841,"1,916",43.9
187,Middle Tenn. (CUSA),33,14-19,854,"1,945",43.9
188,Boston College (ACC),36,20-16,932,"2,121",43.9
189,Evansville (MVC),35,17-18,912,"2,074",44
190,Maine (America East),32,15-17,789,"1,794",44
191,Butler (Big East),33,18-15,921,"2,094",44
192,Eastern Ill. (OVC),32,14-18,757,"1,721",44
193,California Baptist (WAC),33,16-17,816,"1,855",44
194,Ole Miss (SEC),32,20-12,843,"1,916",44
195,Longwood (Big South),35,21-14,837,"1,902",44
196,Florida (SEC),36,24-12,"1,017","2,311",44
197,Campbell (CAA),32,14-18,849,"1,928",44
198,Lehigh (Patriot),32,14-18,828,"1,880",44
199,Colorado (Pac-12),37,26-11,984,"2,234",44
200,High Point (Big South),36,27-9,944,"2,142",44.1
201,Cornell (Ivy League),30,22-8,806,"1,828",44.1
202,East Carolina (AAC),33,15-18,810,"1,835",44.1
203,Stetson (ASUN),35,22-13,957,"2,168",44.1
204,Oral Roberts (Summit League),31,12-19,831,"1,882",44.2
205,Belmont (MVC),33,20-13,914,"2,067",44.2
206,Illinois St. (MVC),32,15-17,790,"1,786",44.2
207,Washington (Pac-12),32,17-15,886,"2,003",44.2
208,Drake (MVC),35,28-7,885,"2,000",44.3
209,Bowling Green (MAC),34,20-14,899,"2,028",44.3
210,St. Bonaventure (Atlantic 10),33,20-13,798,"1,799",44.4
211,FGCU (ASUN),32,14-18,819,"1,845",44.4
212,Western Mich. (MAC),32,12-20,857,"1,930",44.4
213,Montana (Big Sky),36,24-12,926,"2,085",44.4
214,Princeton (Ivy League),29,24-5,718,"1,616",44.4
215,Portland St. (Big Sky),32,17-15,818,"1,841",44.4
216,UAB (AAC),35,23-12,943,"2,122",44.4
217,William & Mary (CAA),33,10-23,840,"1,890",44.4
217,Hawaii (Big West),34,20-14,860,"1,935",44.4
219,Col. of Charleston (CAA),35,27-8,939,"2,112",44.5
220,Northern Ky. (Horizon),33,18-15,875,"1,968",44.5
221,Morgan St. (MEAC),31,11-20,846,"1,902",44.5
222,UMBC (America East),32,11-21,948,"2,131",44.5
223,Missouri (SEC),32,8-24,809,"1,818",44.5
224,UNI (MVC),33,19-14,826,"1,856",44.5
225,Ball St. (MAC),31,15-16,811,"1,821",44.5
226,Oregon St. (Pac-12),32,13-19,816,"1,832",44.5
227,North Ala. (ASUN),32,15-17,833,"1,870",44.5
228,Mercer (SoCon),33,16-17,814,"1,827",44.6
229,Brown (Ivy League),31,13-18,801,"1,797",44.6
230,Arkansas (SEC),33,16-17,909,"2,039",44.6
231,West Virginia (Big 12),32,9-23,878,"1,969",44.6
232,La Salle (Atlantic 10),33,16-17,866,"1,942",44.6
233,UTSA (AAC),32,11-21,908,"2,032",44.7
234,USC Upstate (Big South),30,10-20,737,"1,649",44.7
235,Purdue Fort Wayne (Horizon),36,23-13,930,"2,080",44.7
236,Kent St. (MAC),34,17-17,850,"1,901",44.7
237,Marshall (Sun Belt),33,13-20,922,"2,060",44.8
238,California (Pac-12),32,13-19,873,"1,949",44.8
239,LMU (CA) (WCC),31,12-19,814,"1,817",44.8
240,Coppin St. (MEAC),29,2-27,723,"1,613",44.8
241,Omaha (Summit League),33,15-18,839,"1,871",44.8
242,Fordham (Atlantic 10),33,13-20,805,"1,795",44.8
243,Florida A&M (SWAC),29,6-23,777,"1,732",44.9
244,Howard (MEAC),35,18-17,913,"2,035",44.9
245,South Alabama (Sun Belt),32,16-16,874,"1,948",44.9
246,TCU (Big 12),34,21-13,867,"1,932",44.9
247,Minnesota (Big Ten),34,19-15,898,"1,999",44.9
248,Louisiana (Sun Belt),33,19-14,834,"1,856",44.9
249,NIU (MAC),31,11-20,853,"1,898",44.9
250,UNCW (CAA),31,21-10,792,"1,762",44.9
251,UIW (Southland),31,8-23,841,"1,871",44.9
252,Central Ark. (ASUN),32,9-23,869,"1,933",45
253,Northern Colo. (Big Sky),33,19-14,912,"2,028",45
254,FDU (NEC),32,15-17,885,"1,967",45
255,Arizona St. (Pac-12),32,14-18,850,"1,887",45
256,Charleston So. (Big South),30,10-20,809,"1,795",45.1
257,Oregon (Pac-12),36,24-12,928,"2,059",45.1
258,Northwestern (Big Ten),34,22-12,806,"1,788",45.1
259,Eastern Mich. (MAC),31,13-18,820,"1,819",45.1
260,Rice (AAC),32,11-21,875,"1,941",45.1
261,South Dakota (Summit League),32,12-20,930,"2,063",45.1
262,UTEP (CUSA),34,18-16,798,"1,768",45.1
263,Northwestern St. (Southland),32,9-23,840,"1,860",45.2
264,Southern Ill. (MVC),32,19-13,789,"1,747",45.2
265,Canisius (MAAC),32,14-18,864,"1,913",45.2
266,Stanford (Pac-12),32,14-18,913,"2,020",45.2
267,Penn St. (Big Ten),33,16-17,854,"1,888",45.2
268,Virginia Tech (ACC),34,19-15,879,"1,943",45.2
269,Rhode Island (Atlantic 10),32,12-20,890,"1,967",45.2
270,South Carolina St. (MEAC),32,14-18,778,"1,719",45.3
271,UC Santa Barbara (Big West),31,16-15,848,"1,871",45.3
272,Wyoming (Mountain West),32,15-17,868,"1,914",45.4
273,North Dakota (Summit League),32,18-14,849,"1,871",45.4
274,Cleveland St. (Horizon),36,21-15,929,"2,047",45.4
275,Dartmouth (Ivy League),27,6-21,719,"1,584",45.4
276,Florida St. (ACC),33,17-16,859,"1,892",45.4
277,Penn (Ivy League),29,11-18,782,"1,721",45.4
278,Idaho (Big Sky),32,11-21,789,"1,736",45.4
279,LIU (NEC),29,7-22,779,"1,713",45.5
280,American (Patriot),32,16-16,776,"1,706",45.5
281,Baylor (Big 12),35,24-11,904,"1,987",45.5
282,Ark.-Pine Bluff (SWAC),31,13-18,915,"2,011",45.5
283,Ga. Southern (Sun Belt),33,9-24,887,"1,947",45.6
284,San Diego (WCC),33,18-15,885,"1,941",45.6
285,Jackson St. (SWAC),32,15-17,849,"1,862",45.6
286,Vanderbilt (SEC),32,9-23,858,"1,881",45.6
287,Saint Francis (PA) (NEC),30,8-22,769,"1,685",45.6
288,Holy Cross (Patriot),33,10-23,878,"1,922",45.7
289,Wisconsin (Big Ten),36,22-14,896,"1,961",45.7
290,Elon (CAA),32,13-19,880,"1,925",45.7
291,Oklahoma St. (Big 12),32,12-20,865,"1,891",45.7
292,Syracuse (ACC),32,20-12,899,"1,964",45.8
293,Fairfield (MAAC),37,24-13,987,"2,156",45.8
294,Siena (MAAC),32,4-28,880,"1,922",45.8
295,Arkansas St. (Sun Belt),37,20-17,"1,023","2,234",45.8
296,The Citadel (SoCon),32,11-21,860,"1,878",45.8
297,Presbyterian (Big South),33,14-19,825,"1,801",45.8
298,Iowa (Big Ten),34,19-15,969,"2,114",45.8
299,Weber St. (Big Sky),32,20-12,799,"1,743",45.8
300,Tennessee Tech (OVC),31,10-21,857,"1,867",45.9
301,Cal Poly (Big West),32,4-28,817,"1,778",46
302,Lipscomb (ASUN),32,20-12,926,"2,015",46
303,NJIT (America East),28,7-21,735,"1,598",46
304,North Dakota St. (Summit League),32,15-17,879,"1,909",46
305,Iona (MAAC),33,16-17,804,"1,746",46
306,Saint Louis (Atlantic 10),33,13-20,906,"1,965",46.1
307,North Florida (ASUN),32,16-16,889,"1,928",46.1
308,Robert Morris (Horizon),32,10-22,860,"1,865",46.1
309,UC Riverside (Big West),34,16-18,877,"1,901",46.1
310,Fresno St. (Mountain West),33,12-21,901,"1,952",46.2
311,Furman (SoCon),33,17-16,940,"2,036",46.2
312,Abilene Christian (WAC),34,16-18,888,"1,923",46.2
313,Chicago St. (DI Independent),32,13-19,827,"1,789",46.2
314,Alcorn (SWAC),32,14-18,841,"1,818",46.3
315,Austin Peay (ASUN),35,19-16,910,"1,967",46.3
316,Southeast Mo. St. (OVC),31,9-22,802,"1,733",46.3
317,VMI (SoCon),32,4-28,969,"2,092",46.3
318,Sacramento St. (Big Sky),34,10-24,859,"1,854",46.3
319,Murray St. (MVC),32,12-20,811,"1,750",46.3
320,Manhattan (MAAC),30,7-23,847,"1,827",46.4
321,Portland (WCC),33,12-21,970,"2,089",46.4
322,Northeastern (CAA),32,12-20,834,"1,792",46.5
323,Denver (Summit League),34,17-17,993,"2,133",46.6
324,Loyola Maryland (Patriot),32,7-25,831,"1,785",46.6
325,Michigan (Big Ten),32,8-24,926,"1,988",46.6
326,Montana St. (Big Sky),35,17-18,933,"2,000",46.7
327,UAlbany (America East),32,13-19,907,"1,944",46.7
328,UTRGV (WAC),31,6-25,890,"1,898",46.9
329,New Orleans (Southland),33,10-23,937,"1,997",46.9
330,Niagara (MAAC),32,16-16,862,"1,834",47
331,Louisville (ACC),32,8-24,894,"1,890",47.3
332,Prairie View (SWAC),31,10-21,808,"1,708",47.3
333,San Jose St. (Mountain West),32,9-23,854,"1,804",47.3
334,Wright St. (Horizon),32,18-14,953,"2,011",47.4
335,Buffalo (MAC),31,4-27,913,"1,926",47.4
336,Houston Christian (Southland),29,6-23,908,"1,915",47.4
337,Northern Ariz. (Big Sky),33,14-19,905,"1,908",47.4
338,Air Force (Mountain West),31,9-22,774,"1,631",47.5
339,FIU (CUSA),33,11-22,891,"1,876",47.5
340,Southern Utah (WAC),31,10-21,904,"1,894",47.7
341,Valparaiso (MVC),32,7-25,893,"1,870",47.8
342,N.C. A&T (CAA),32,7-25,926,"1,931",48
343,Toledo (MAC),32,20-12,916,"1,909",48
344,Idaho St. (Big Sky),34,14-20,881,"1,835",48
345,Pepperdine (WCC),33,13-20,889,"1,850",48.1
346,Pacific (WCC),32,6-26,903,"1,867",48.4
347,DePaul (Big East),32,3-29,949,"1,948",48.7
348,Mississippi Val. (SWAC),31,1-30,835,"1,711",48.8
349,Georgetown (Big East),32,9-23,901,"1,841",48.9
350,Detroit Mercy (Horizon),32,1-31,921,"1,878",49
351,IU Indy (Horizon),32,6-26,927,"1,828",50.7
